en;jp
Whitelisted players: __1__;ホワイトリストに登録済みのプレーヤー: __1__
Banned players: __1__;BANされたプレーヤー: __1__
The whitelist is empty.;ホワイトリストは空です。
The banlist is empty.;BANリストは空です。
The whitelist is already empty.;ホワイトリストはすでに空です。
The banlist is already empty.;BANリストはすでに空です。
The whitelist has been cleared and disabled.;ホワイトリストは初期化され無効化されています。
The banlist has been cleared.;BANリストは初期化されました。
Only admins can use whitelist clear.;管理者のみがホワイトリストの初期化を実行できます。
Only admins can use banlist clear.;管理者のみがBANリストの初期化を実行できます。
Only admins can use whitelist add.;管理者のみがホワイトリストの追加を実行できます。
Only admins can use banlist add.;管理者のみがBANリストの追加を実行できます。
Only admins can use whitelist remove.;管理者のみがホワイトリストの削除を実行できます。
Only admins can use banlist remove.;管理者のみがBANリストの削除を実行できます。
__1__ is whitelisted.;__1__ はホワイトリストに追加されています。
__1__ is banned.;__1__ はBANされています。
__1__ is not whitelisted.;__1__ はホワイトリストに追加されていません。
__1__ is not banned.;__1__ はBANされていません。
__1__ is already whitelisted.;__1__ はすでにホワイトリストに追加されています。
__1__ is already banned.;__1__ はすでにBANされています。
__1__ wasn't in the whitelist.;__1__ はホワイトリストに追加されていませんでした。
__1__ wasn't banned.;__1__ はBANされていませんでした。
Added __1__ to the whitelist.;ホワイトリストに__1__を追加しました。
Added __1__ to the banlist.;BANリストに__1__を追加しました。
Removed __1__ from the whitelist.;__1__をホワイトリストから除外しました。
Unbanned __1__.;__1__のBANを解除しました。
All permission groups: __1__.;すべてのパーミッショングループ: __1__
All actions: __1__.;すべてのアクション: __1__
Cannot delete the blueprint library storage for a connected player.;接続しているプレイヤーの建設計画ライブラリストレージは削除できません。
Deleted blueprint library for __1__.;__1__の建設計画ライブラリが削除されました。
__1__ did not have any stored blueprints.;__1__ は共有された建設計画を持っていません。
No blueprint library storages to delete.;消去できる建設計画ライブラリはありません
Deleted blueprint library storage for players:;建設計画ライブラリストレージが削除されたプレーヤー：
Action logging enabled.;アクションログを有効にする
Action logging disabled.;アクションログを無効にする
Select icon;列車の概要
Cancel;キャンセル
__1__ out of __2__ players are online;__2__人中__1__人のプレイヤーがオンラインです。
Manage permissions;権限を管理
Show online only;オンラインのみ表示
Last online;最終オンライン
Muted;ミュート
Banned;BAN
Whitelisted;ホワイトリスト
Operations;担当
Manage;管理
Permission group;権限グループ
Un-whitelist;ホワイトリスト解除
Delete;削除
Manage __1__;__1__を管理
Only connected players can be kicked.;接続中のプレイヤーのみキックできます。
Whitelist must be enabled on the server before players can be whitelisted.;プレイヤーを登録する前に、サーバーのホワイトリストを有効にしなければなりません。
You cannot delete yourself.;自分自身を削除することはできません。
You cannot kick yourself.;自分自身はキックできません！
You cannot ban yourself.;自分自身をBANすることはできません。
Removes and deletes the player from the server.;プレイヤーをサーバーから追い出してデータを削除します。
now;今
Never;しない
Enable all;全て有効
Disable all mods;全て無効
Group permissions;グループパーミッション
You're about to remove your ability to edit permissions. Do you really want to do this?;自身のパーミッションを編集する権限を削除しようとしています。実行してもよろしいですか？
Delete selected group;選択グループを削除
Edit selected group;選択グループを編集
Add group;グループを追加
Clone group;グループを複製
Add player to group;プレイヤーをグループへ追加
Remove player from group;プレイヤーをグループから削除
Players in group;グループ中のプレイヤー
Show players in other groups;他グループのプレイヤーを表示
Import permissions;権限のインポート
Export;権限のエクスポート
Import;権限のインポート
Permission string;権限コード
Import failed: __1__;インポートに失敗しました: __1__
Maximum number of groups reached.;グループ数の上限に達しました。
Multiple default groups found.;デフォルトグループが複数存在します。
No default group found.;デフォルトグループがありません。
Begin mining;採掘技術
Toggle driving;乗車/降車
Open gui;GUIを開く
Open character gui;キャラクター情報を開く
Open current vehicle gui;車両情報を開く
Connect rolling stock;列車を連結する
Disconnect rolling stock;列車を切り離す
Clear cursor;持ち物を戻す（カーソルの持ち物をクリア）
Reset assembling machine;組立機をリセット
Open technology gui;テクノロジーツリーを開く
Launch rocket;ロケット発射
Open production gui;生産統計を開く
Cancel new blueprint;建設計画を中止する
Copy entity settings;エンティティ設定のコピー
Paste entity settings;エンティティ設定の貼り付け
Destroy opened item;開いたアイテムを破壊
Copy opened item;開いたアイテムをコピー
Toggle show entity info;エンティティ情報の表示を切り替える
Switch to rename stop gui;駅名変更に切替え
Open bonus gui;ボーナス一覧を開く
Open trains gui;列車一覧を開く
Open achievements gui;実績一覧を開く
Cycle blueprint book forwards;建設計画書を前へ送る
Cycle blueprint book backwards;建設計画書を後ろへ戻す
Toggle enable vehicle logistics while moving;移動中の車両物流の切り替え
Toggle deconstruction item entity filter mode;解体プランナーのエンティティフィルターモード切り替え
Toggle deconstruction item tile filter mode;解体プランナーのタイルフィルターモード切り替え
Open logistic gui;物流一覧を開く
Select next valid gun;次の銃を選択
Toggle map editor;マップ エディターの切り替え
Delete blueprint library;建設計画書の削除
Activate copy;コピーを有効にする
Activate cut;カットを有効にする
Activate paste;ペーストを有効にする
Undo some actions such as manual entity building/removal, placing of blueprints, and usage of the deconstruction planner.;アンドゥ
Toggle personal roboport;個人用ロボットステーションの切り替え
Toggle equipment movement bonus;装備移動ボーナスの切り替え
Toggle personal logistic requests;個人物流要求の切り替え
Toggle entity logistic requests;エンティティ物流要求の切り替え
Stop building by moving;移動しながらの建設を停止
Flush opened entity fluid;エンティティの液体を消去
Open tips and tricks gui;ヒント・トリックを開く
Open blueprint library gui;建設計画書一覧を開く
Drop item;アイテムをその場に捨てる
__1__ to build.;__1__で設置。
Start walking;歩行を開始
Begin mining terrain;採掘地形を開始
Change riding state;乗車/降車
Open item;アイテムを開く
Open parent of opened item;開いているアイテムの親を開く
Reset item;アイテムをリセット
Destroy item;アイテムを破壊
Open mod item;modアイテムを開く
Open equipment;装備画面を開く
Cursor transfer;アイテムを持つ
Cursor split;アイテム数の半分を選択
Stack transfer;アイテムを1スタック移動
Inventory transfer;インベントリアイテムの移動許可
Usable only in the recipe GUI. Crafts 1 of a given recipe.;製作
Wire dragging;ワイヤー接続
Change shooting state;攻撃
Setup assembling machine;組立機のレシピを設定
Smart pipette;ピペット機能
Stack split;0.5スタック分のアイテムを移動
Inventory split;全アイテムの半数を移動
Cancel craft;クラフトをキャンセル
Set filter;フィルターの設定
Set circuit condition;回路条件の設定
Set signal;シグナル設定
Start research;研究開始
Set logistic filter item;物流フィルターを設定
Set logistic filter signal;物流フィルター信号を設定
Set circuit mode of operation;カイロモード設定の許可
Gui click;GUIクリック
Gui confirmed;Gui 確認済み
Write to console;コンソール入力
Market offer;マーケットオファー
Add train station;駅を追加
Change train stop station;列車の停車駅を変更
Change active item group for crafting;作成グループアイテム変更権限
Change active item group for filters;フィルターグループアイテム変更権限
Change active character tab;アクティブキャラクタータブの変更権限
Gui text changed;GUIのテキスト変更
Gui checked state changed;GUIのチェク状態変更
Gui selection state changed;GUIの選択状態変更
Gui selected tab changed;GUIのタブ変更
Gui value changed;GUIの値変更
Gui switch state changed;GUIの状態変更
Gui location changed;GUIの位置変更
Place equipment;装備を配置
Take equipment;装備権限
Use item;アイテムを使う
Send spidertron;Spidertronへ送信
Use artillery remote;長距離砲の遠隔操作
Set inventory bar;インベントリバーを設定
Start repair;リペア開始
Deconstruct;解体
Upgrade;アップグレード
Copy;コピー
Alternative copy;代替コピー
Select blueprint entities;建設計画のエンティティを選択
Alt select blueprint entities;代替建設計画のエンティティを選択
Setup blueprint;新しい建設計画を設定
Setup single blueprint record;計画書に関する権限
Copy opened blueprint;開いている建設計画をコピー
Reassign blueprint;建設計画の再割り当て
Open blueprint record;建設計画の記録を開く
Grab blueprint record;建設計画の記録を取得
Drop blueprint record;建設計画の記録を取得
Delete blueprint record;建設計画の記録を削除
Upgrade opened blueprint by record;記録を使って建設計画をアップグレードする
Upgrade opened blueprint by item;アイテムを使って建設計画をアップグレードする
Spawn item;アイテムを作る
Edit blueprint tool preview;建設計画を編集
Remove cables;ケーブルを削除
Export blueprint;建設計画をエクスポート
Import blueprint;建設計画をインポート
Import blueprints filtered;フィルタリングされた建設計画をインポート
Cancel deconstruct;解体をキャンセル
Cancel upgrade;アップグレードをキャンセルする
Change arithmetic combinator parameters;算術回路の設定変更
Change decider combinator parameters;条件回路の設定変更
Change programmable speaker parameters;プログラマブルスピーカーの設定変更
Change programmable speaker alert parameters;プログラマブルスピーカーの警告設定変更
Change programmable speaker circuit parameters;プログラマブルスピーカーの回路設定変更
Set vehicle automatic targeting parameters;車両の自動目標追尾を設定する
Build terrain;地形を構築
Change train wait condition;列車待機条件を変更
Change train wait condition data;列車待機条件データを変更
Custom input;カスタム入力
Change item label;アイテムのラベルを変更
Change item description;アイテムの説明を変更
Change entity label;エンティティのラベルの変更
Build rail;レールを敷設する
Cancel research;研究をキャンセル
Select area;エリア選択
Alt select area;altエリア選択
Reverse select area;選択範囲を反転
Alt reverse select area;選択範囲を反転
Set controller logistic trash filter item;自動廃棄フィルターの設定
Set entity logistic trash filter item;エンティティの自動廃棄フィルターの設定
Set infinity container filter item;無限コンテナのフィルタ設定権限
Set infinity pipe filter;無限パイプフィルターを設定
Mod settings changed;Mod の設定が変更されました
Set entity energy property;エネルギー設定権限
Edit custom tag;カスタムタグを編集
Edit permission group;権限グループの編集
Import blueprint string;計画書のインポート権限
Import permissions string;権限のインポート
Gui elem changed;GUI 要素変更
Drag train schedule;列車ダイヤ変更権限
Drag train wait condition;列車待機設定権限
Select item;アイテムを選択
Select entity slot;エンティティスロットを選択
Select tile slot;タイルスロットを選択
Select mapper slot;マッパースロットを選択
Quick bar set slot;クイックバーのスロット設定
Quick bar pick slot;クイックバーのスロット取得
Quick bar set selected page;クイックバーで選択したページを設定
Map editor action;マップエディタの操作
Change multiplayer config;マルチプレイヤー設定を変更する
Admin action;管理者アクション
Lua shortcut;Lua ショートカット
Translate string;翻訳権限
Flush opened entity specific fluid;特定の液体消去権限
Change picking state;集荷状態の変更
Set autosort inventory;インベントリの自動ソート設定権限
Set flat controller gui;フラットコントローラーGUIを設定
Set recipe notifications;レシピ通知を設定
Set auto launch rocket;自動発射ロケットを設定
Switch constant combinator state;定数回路変更権限
Switch power switch state;電源スイッチの切り替え
Switch inserter filter mode state;フィルターインサータの設定変更
Switch connect to logistic network;物流ネットワークへの接続を切り替える
Set behavior mode;動作モード設定権限
Fast entity transfer;直接アイテム移動
Rotate entity;エンティティを回転
Fast entity split;直接アイテム半数移動権限
Set train stopped;停車駅の設定
Set research finished stops game;研究終了時のゲーム一時停止の設定
Set inserter max stack size;インサータの最大スタックサイズを設定
Open train gui;列車一覧を開く
Set entity color;エンティティの色を設定
Set deconstruction item trees and rocks only;木と岩のみの解体プランナー設定権限
Set deconstruction item tile selection mode;解体プランナーのタイル選択モード権限
Delete custom tag;カスタムタグを削除
Delete permission group;パーミッショングループの削除
Add permission group;パーミッショングループの追加
Set infinity container remove unfiltered items;貨物車のフィルタ削除権限
Set car weapons control;車両の武器を設定
Set request from buffers;要求チェストの設定権限
Change active quick bar;クイックバーの切替
Set splitter priority;分配器の優先設定
Set heat interface temperature;ヒートインターフェース温度を設定
Set heat interface mode;ヒートインターフェースモードの設定
Open train station gui;駅画面を開く
Remove train station;駅を削除
Go to train station;駅へ移動
Set player color;プレイヤーの色を設定
Set trains limit;列車の上限を設定
Set linked container link ID;物流チェストのリンク設定権限
Move;移動
Look;見る
Move up;上に移動する
Move right;右に移動する
Move down;下に移動する
Move left;左に移動する
Shoots at the enemy nearest to the cursor, or for some weapons shoots at the location of the cursor.;カーソルに最も近い敵を撃ちます。武器によってはカーソルの場所を撃ちます。
Shoots at whatever you have selected, or for some weapons shoots at the location of the cursor.;選択したものを何であれ撃ちます。武器によってはカーソルの場所を撃ちます。
Open character screen;インベントリを開く
Toggle technology screen;テクノロジースクリーンの表示切替
Rotates the item held in the cursor or the selected entity clockwise.;カーソルをあわせているか選択している施設を時計回りに回転します。
Rotates the item held in the cursor or the selected entity counterclockwise.;カーソルをあわせているか選択している施設を反時計回りに回転します。
Flip blueprint horizontal;建設計画を水平に反転
Flip blueprint vertical;建設計画を垂直に反転
Pick up items on the ground;アイテムを拾う
Confirm window;確認画面
Toggle free cursor;フリーカーソルを切り替える
When holding a blueprint book in the cursor, cycles the active blueprint to the next available blueprint.;建設計画の本をホールドしているとき、アクティブな建設計画を次の建設計画に切り替えます。
When holding a blueprint book in the cursor, cycles the active blueprint to the previous available blueprint.;建設計画の本をホールドしているとき、アクティブな建設計画を前の建設計画に切り替えます。
Cycles the clipboard history while holding the paste tool.;貼り付けツールを保持しているとき、クリップボード履歴の逆送り。
Zoom in;ズームイン
Zoom out;ズームアウト
Usable only on the map. Zoom with ability to zoom in to world view from map view.;マップでのみ使えます。マップビューから通常ビューへズームインします。
Usable only on the map. Zoom with ability to zoom out to map view from world view.;マップでのみ使用できます。ワールドビューからマップビューにズームアウトできるズームです。
Toggle menu;ゲームメニューを表示
Cancel and return to the previous menu. Usable only in main menu.;キャンセルして前のメニューに戻ります。メインメニューでのみ使用できます。
Production statistics (__CONTROL__production-statistics__);生産統計 (__CONTROL__production-statistics__)
Toggle kill statistics;キル数統計の表示切替
Toggle world map;マップ切替
Enters or exits the vehicle you're standing next to or driving.;乗り物から降車または、隣接する乗り物に乗車します。
Returns the item in the cursor stack to the player's inventory. Also cancels wire placement and rail planning.;持っているアイテムをプレイヤーのインベントリに戻します。ケーブル配線やレールプランナーもキャンセルされます。
Picks items from your inventory used to build the currently selected entity and places them in your cursor. For resources it will select the fastest available mining drill.;選択した施設を設置するために使われるアイテムをインベントリから手に取ります。資源を選択した場合は掘削機のうち高速な物を手に取ります。
Mine;採掘
Select the entities for blueprinting, upgrading, or deconstruction.;建設計画やアップグレード、解体指示する対象を選択します。
Select to cancel upgrading or deconstruction.;アップグレード、解体指示を取り消す対象を選択します。
Activates Downgrade mode with the upgrade planner.;アップグレードプランナーでダウングレードモードを有効にします。
Alternative reverse select;選択範囲を逆転
Copies settings from the selected entity. Note that for pasting to work, the source entity must still exist.;選択したエンティティから設定をコピーします。ペーストする際にコピー元のエンティティが存在していなければならない点に注意してください。
Pastes settings from the previously copied entity.;コピーした設定を他のエンティティに貼り付けます。
Select an area of entities to be copied and marked for deconstruction.;コピーした上で解体指示する対象の範囲を選択してください。
Pastes the last copied entities.;最後にコピーしたエンティティを貼り付けます。
Removes wires from the selected electric pole, starting with electric wires and then circuit network wires.;選択した電柱からケーブルを除去します(電線、回路ネットワークケーブルの順)。
Build ghost;仮設置（設置予想を表示）
Usable only for rail building. This is the same as ghost build mode, but trees, rocks, and cliffs are avoided.;レール設置時のみ使えます。これは仮設置モードと同様ですが、木と岩と崖を避けます。
Open object's GUI;オブジェクトメニューを開く
Drop one item of what you are holding on the ground, on a belt, or into a machine.;持っていアイテムの1個を地面やベルトの上や機械の中へ置きます。
Pick up/drop item stack;アイテムのスタックを持つ／置く
Moves half of the selected inventory slot into the cursor if empty. Places a single item from the cursor stack into the selected inventory slot when holding an item.;カーソルが空の場合は選択したスロットのアイテムの半分をカーソルに移動します。カーソルにアイテムがある場合はカーソルのアイテムを選択したスロットに1個配置しますが、選択したスロットにすでにアイテムがある場合は配置できません。
Transfers the selected stack to the other inventory.;選択したスタックを他のインベントリへ転送します。
Transfers half of the selected stack to the other inventory.;選択したスタックの半分を他のインベントリへ転送します。
Transfers all of the selected stack type to the other inventory. If an empty slot is selected, all items are transferred.;選択したスタックと同じアイテムをすべて他のインベントリへ移動します。空のスロットを選択した場合はすべてのアイテムを移動します。
Transfers the held stack into the selected entity, or takes anything the entity has and transfers it to your inventory if the cursor is empty.;保持されているスタックを選択された施設に転送します。カーソルが空の場合は、施設が持つものを取り出してあなたのインベントリに転送します。
Transfers half of all of the stacks (rounded up) of the selected stack type to the other inventory. If an empty slot is selected, half of all stacks are transferred.;選択したスタックと同じアイテムの半数（端数切り上げ）を他のインベントリへ移動します。空のスロットをクリックした場合はすべてのアイテムの半数を移動します。
Transfers half of the held stack into the selected entity, or takes half of anything the entity has and transfers it to your inventory if the cursor is empty.;保持されているスタックの半分を選択された施設に転送します。カーソルが空の場合は、施設が持つものを半分取り出してあなたのインベントリに転送します。
Usable only in the recipe GUI. Crafts 5 of a given recipe.;レシピGUIで使います。指定のレシピを5つ製作します。
Usable only in the recipe GUI. Crafts as many as possible of a given recipe.;レシピGUIで使います。指定のレシピを可能な限り多く製作します。
Usable only in the crafting queue.;製作予約で使います。
Show quick panel;クイックパネルの表示
Next page;次のページ
Previous page;前のページ
Next tab;次のタブ
Previous tab;前のタブ
Shortcut 1;ショートカット1
Shortcut 2;ショートカット2
Shortcut 3;ショートカット3
Shortcut 4;ショートカット4
Shortcut 5;ショートカット5
Shortcut 6;ショートカット6
Shortcut 7;ショートカット7
Shortcut 8;ショートカット8
Shortcut 9;ショートカット9
Shortcut 10;ショートカット10
Secondary shortcut 1;副ショートカット1
Secondary shortcut 2;副ショートカット2
Secondary shortcut 3;副ショートカット3
Secondary shortcut 4;副ショートカット4
Secondary shortcut 5;副ショートカット5
Secondary shortcut 6;副ショートカット6
Secondary shortcut 7;副ショートカット7
Secondary shortcut 8;副ショートカット8
Secondary shortcut 9;副ショートカット9
Secondary shortcut 10;副ショートカット10
Select quickbar 1;クイックバー 1 を選択
Select quickbar 2;クイックバー 2 を選択
Select quickbar 3;クイックバー 3 を選択
Select quickbar 4;クイックバー 4 を選択
Select quickbar 5;クイックバー 5 を選択
Select quickbar 6;クイックバー 6 を選択
Select quickbar 7;クイックバー 7 を選択
Select quickbar 8;クイックバー 8 を選択
Select quickbar 9;クイックバー 9 を選択
Select quickbar 10;クイックバー 10 を選択
Rotate active quickbars;アクティブクイックバーを切り替え
Selects the next quickbar for the top quickbar.;最上段のクイックバーに次のクイックバーを選択します。
Selects the previous quickbar for the top quickbar.;最上段のクイックバーに前のクイックバーを選択します。
Creates/removes a filter for the selected inventory slot. Only the selected item type can be placed in the filtered slot.;選択したインベントリスロットにフィルターを作成し、選択したアイテムのみ入れられるようにします。またフィルターが設定されていれば解除します。
Toggles showing additional information about built entities such as recipes in assembling machines and container contents.;組立機のレシピやチェストの中身といった、設置された施設に関する追加情報を表示するかどうかを切り替えます。
Cycles to the next equipped weapon.;次に装備された武器に切り替えます。
Shows the tooltip when the tooltip delay is set to a large value or "Never".;ツールチップ遅延が大きいもしくは表示しない設定のときツールチップを表示。
Confirm message;メッセージを確認
Connects the selected train or the train you're driving to any adjacent trains.;選択した列車または運転している列車を隣接する列車に接続します
Disconnects the selected rolling stock or the rolling stock you are in from the rest of the train.;選択した車両または乗っている車両以降を列車から切り離します。
Clone item;アイテムを複製
Delete item;アイテムを削除する
Next variation;次の種類
Previous variation;前の種類
Toggle entity paused;ポーズを切り替え
Tick once;1Tick進める
Pause game;ポーズ
Increase game speed;ゲームの速度を上げる
Decrease game speed;ゲームの速度を下げる
Reset game speed to 1;ゲームスピードを1にリセット
Set clone brush source;クローンブラシのソースを設定
Set clone brush destination;クローンブラシのクローン先を設定
Switches to the surface number pressed in combination with this hotkey: __CONTROL__editor-switch-to-surface__ + 3 -> switches to surface 3.;このホットキーと同時に押した数字にサーフェスを切り替えます： __CONTROL__editor-switch-to-surface__ + 3→サーフェス3に切り替え
Remove scripting object;スクリプトオブジェクトを削除
Open item's GUI;アイテムのGUIを開く
+ Add station;+ 駅を追加
Usable only in the locomotive GUI and map view. Hold this modifier while selecting in the locomotive GUI minimap or main map to quickly go to that location by adding a temporary stop to the schedule.;車両画面とマップ画面でのみ使用できます。車両画面のミニマップやマップ画面上で選択したまま押すと、その場所を臨時駅として時刻表に追加し、即座に移動します。
Toggle chat (and Lua console);チャット(およびLuaコンソール)の表示切替
Drag map;マップをドラッグ
Quickly create a map ping at the selected location and link to it in the chat.;選択した場所のピンをマップに立て、その場所へのリンクをチャットに貼ります。
Usable only when the chat is open. Places a chat link to the selected item, recipe, map location, stop, or train.;チャットを開いている間のみ使えます。選択したアイテムやレシピ、マップの場所、駅や列車へリンクをチャットに追加します。
Increases the size of the placement area for tiles.;タイルの配置範囲を増加します。
Decreases the size of the placement area for tiles.;タイルの配置範囲を減少します。
Not set;未設定
Unknown;不明
Focus search;検索にフォーカス
Usable only on the technology screen. Selects the technology you previously selected.;テクノロジースクリーンでのみ使えます。前に選択した研究を選択します。
Usable only in the mods GUI. Selects the mod you previously selected.;MOD画面でのみ使えます。前に選択したMODを選択します。
Logistic networks;物流ネットワーク
Toggle blueprint library;建設計画のライブラリの表示切替
Toggle train overview;列車の概要表示の切り替え
Toggle atlas GUI;アトラスGUIを表示
Toggle debug settings GUI;デバッグ設定を表示
Toggle basic debug;basicデバッグを表示
Reset zoom level;ズーム倍率のリセット
Set zoom level to 2x;ズーム倍率を2倍にする
Open character crafting;キャラクター製作欄を開く
Open character logistics;キャラクター物流欄を開く
Open character info;キャラクター情報欄を開く
Toggle GUI debug;Guiデバッグを表示
Toggle GUI style view;GUIスタイルビューを切り替え
Toggle GUI shadows;GUIの影を切り替え
Toggle GUI glows;GUIのグローを切り替え
Open prototypes GUI;プロトタイプGUIを開く
Open prototype explorer GUI;プロトタイプエクスプローラーGUIを開く
Increase UI scale;UIサイズ拡大
Decrease UI scale;UIサイズ縮小
Reset UI scale to automatic;UIサイズを自動にリセット
Next player in replay;リプレイ中の次のプレイヤー
Used with spidertron remote to order the connected spidertron to follow the given target.;スパイダートロンリモコンを使用する事で接続されたスパイダートロンを指定した目的地に移動させることができます。
Left-click;左クリック
Right-click;右クリック
Middle-click;ミドルクリック
Mouse button __1__;マウスボタン __1__
Left-clicking;左クリック
Right-clicking;右クリック
Middle-clicking;ミドルクリック
Press __1__;__1__ を押す
Pressing __1__;__1__ を押しています
Scroll __1__;マウスのスクロール __1__
Scrolling __1__;マウスのスクロール __1__
Use __1__;__1__ を使用
Using __1__;__1__ を使用中
Mouse wheel up;マウスホイールアップ
Mouse wheel down;マウスホイールダウン
Mouse wheel left;マウスホイール左
Mouse wheel right;マウスホイール右
Enter;Enter
Escape;Escape
Backspace;Backspace
Tab;Tab
Spacebar;スペース
Caps Lock;Caps Lock
Print Screen;Print Screen
Scroll Lock;Scroll Lock
Insert;Insert
Home;Home
Page Up;Page Up
End;End
Page Down;Page Down
Right;右
Left;左
Down;下
Up;上
Num Lock;Num Lock
Numpad /;テンキー /
Numpad *;テンキー *
Numpad -;テンキー -
Numpad +;テンキー +
Numpad Enter;テンキー Enter
Numpad 1;テンキー 1
Numpad 2;テンキー 2
Numpad 3;テンキー 3
Numpad 4;テンキー 4
Numpad 5;テンキー 5
Numpad 6;テンキー 6
Numpad 7;テンキー 7
Numpad 8;テンキー 8
Numpad 9;テンキー 9
Numpad 0;テンキー 0
Numpad .;テンキー .
Numpad =;テンキー =
Power;Power
Menu;メニュー
Volume Up;ボリュームアップ
Volume Down;ボリュームダウン
SysRq;SysRq
Left Control;左Control
Left Shift;左Shift
Left Alt;左Alt
Left Super;左Super
Left Command;左Command
Left Windows;左Windows
Right Control;右Control
Right Shift;右Shift
Right Alt;右Alt
Right Super;右Super
Right Command;右Command
Right Windows;右Windows
Audio Next;オーディオ 次
Audio Previous;オーディオ 前
Audio Stop;オーディオ 停止
Audio Play;オーディオ 再生
Audio Mute;オーディオ ミュート
Mail;メール
Calculator;電卓
AC Search;AC 検索
AC Home;AC Home
AC Back;AC 戻る
AC Forward;AC 進む
AC Stop;AC 停止
AC Refresh;AC 更新
AC Bookmarks;AC ブックマーク
Brightness Down;輝度ダウン
Brightness Up;輝度アップ
Eject;イジェクト
Sleep;スリープ
Control;Control
Shift;Shift
Alt;Alt
__CONTROL_LEFT_CLICK__;__CONTROL_LEFT_CLICK__
__CONTROL_RIGHT_CLICK__;__CONTROL_RIGHT_CLICK__
__CONTROL_KEY_SHIFT__;__CONTROL_KEY_SHIFT__
__CONTROL_KEY_CTRL__;__CONTROL_KEY_CTRL__
Usable only on the map. Places an icon and/or text on the map.;マップでのみ使えます。アイコンやテキストをマップに置きます。
Consumed;消耗品
Activated;有効
Consumes;消費
Stores;格納
Generates;生成
Electricity;電力
equipment grid electricity;装備グリッド電力
fuel;燃料
Fluid;流体
heat;熱
Vehicle;車両
Train;列車
Personal weapons;個人用武器
Vehicle weapons;車両武器
Turret;タレット
Equipment grid;装備グリッド
Placed in equipment grid;装備グリッドに配置します
Effect;効果
Thrown;投擲物
Armor;アーマー
Debug;デバッグデバッグ
Damage;ダメージ
Heal;修復
No ammo;弾薬なし
Consumption speed;消費速度
Shooting speed;連射速度
Throwing speed;連射速度
Activation speed;有効化速度
Fluids;流体
Speed: __1__;再生スピード: __1__
Max speed;最高速度
Weight;重量
Area of effect size;有効範囲
Cluster size;クラスターサイズ
Destroys cliffs;崖を破壊します。
Duration: __1__ms;継続時間: __1__ms
Lifetime;稼働時間
Creates;作成
__1__ x __2__;__1__ x __2__
Applies effect;適用される効果
Robot lifetime;ロボットの生存時間
Piercing Power;貫通力
Crafting speed;製作速度
Storage size;容量
Storage;ストレージ
Health;体力
Max. health;最大耐久力
Mining speed;採掘速度
Mining area;採掘エリア
Expected resources;埋蔵量
Repair speed;修復速度
Amount;数量
Requires;必要なテクノロジー
__1__ __2__ per mining operation;採掘1回あたり__2__を__1__
__1__ per mining operation;採掘1回あたり__1__
Power output;発電量
__1__ (__2__);__1__ (__2__)
__1__ (__2__ neighbour bonus);__1__(隣接ボーナス__2__)
Available power;利用可能電力
Mining time;採掘時間
Max. consumption;最大消費量
Min. consumption;最小消費量
Max. output;最大出力
Constant consumption;定格消費
Consumption;消費量
Output;出力
Moving consumption;移動消費
Robot recharge rate;ロボット充電量
Internal buffer recharge rate;内部蓄電量
Force;勢力
Min. temperature;最低温度
Max. temperature;最高温度
Heat capacity;熱容量
Ammo slots are full.;弾薬スロットがいっぱいです。
Magazine size;マガジン容量
Range;範囲
Minimum range;最小範囲
Automatic range;自動範囲
Manual range;手動範囲
Projectile range;飛翔体射程
Fuel value;熱量
Vehicle acceleration;車両加速力
Vehicle top speed;車両最高速度
Fuel pollution;燃料汚染
Recipe pollution;レシピ汚染
Durability;耐久度
__1__/__2__;__1__/__2__
Remaining;残り
Signals;信号
Number of available robots;利用可能ロボット数
Logistic;物流ロボット
Construction;建設ロボット
Satisfaction;充足度
On the way;運搬中
Logistic storage;物流倉庫(保管)
Input signals;入力信号
Output signals;出力信号
Incoming block;進行元ブロック
Outgoing block;進行先ブロック
No block;ブロックなし
Segments;セグメント
Filters;フィルター
Deliver;搬入中
Pick up;搬出予定
Recipe;レシピ
Made in;製作可能設備
Ingredients;素材
Crafting time;製作時間
Products;製品
Total raw;トータルコスト
Too complex to calculate;計算するには複雑すぎます
Wire reach;接続距離
Supply area;供給範囲
Construction area;建設範囲
Energy;エネルギー
Energy capacity;エネルギー容量
Max input;最大入力
Max output;最大出力
Logistic system storage;ストレージチェスト内情報
Energy consumption;エネルギー消費量
Pollution;汚染
Speed;速度
Productivity;生産性
limit;制限
Number of effect receivers;レシーバー数
Number of effect sources;モジュール数
Efficiency;効率
Distribution efficiency;分配効率
Shield hitpoints;シールドのHP
Energy per hitpoint;HPあたりのエネルギー
Energy per shot;1発当たりのエネルギー
Energy per use;使用あたりのエネルギー
Recharge speed;充電速度
__1__ __plural_for_parameter_1_{1=hitpoint|rest=hitpoints}__;__1__ HP
Batteries;バッテリー
Battery capacity;バッテリー容量
Shields;シールド
Shield capacity;シールド最大HP
Solar panel power;ソーラーパネル出力
Grid size;グリッドサイズ
Inventory size bonus;追加のインベントリ容量
Movement bonus;追加の移動速度
Kills;キル数
Train kills;轢殺
Damage dealt;ダメージ量
Armor slot is occupied.;アーマースロットは占有されています。
Resistances;抵抗
Total followers;合計追従数
Followers;追従ロボット
Sector scanning progress;スキャンの進行度
Normal;ノーマル
__1__ temperature;__1__ 温度
Yield;産出量
Pumping speed;流量
